,S.No,Local Government Area,Year,Adult_Population,Suburb Name,Postcode,2016 Median Sold Price
386,27350,Yarra,2016.0,"76,983",Collingwood,3066,841000.0
387,27350,Yarra,2016.0,"76,983",Cremorne,3121,1000000.0
388,27350,Yarra,2016.0,"76,983",Fairfield,3078,1110000.0
389,27350,Yarra,2016.0,"76,983",Fitzroy,3065,1051000.0
390,27350,Yarra,2016.0,"76,983",Fitzroy North,3068,1157000.0
391,27350,Yarra,2016.0,"76,983",Princes Hill,3054,1330000.0
392,27350,Yarra,2016.0,"76,983",Richmond,3121,1006000.0
393,27450,Yarra Ranges,2016.0,"121,080",Badger Creek,3777,420000.0
394,27450,Yarra Ranges,2016.0,"121,080",Belgrave,3160,515000.0
395,27450,Yarra Ranges,2016.0,"121,080",Belgrave Heights,3160,600000.0
396,27450,Yarra Ranges,2016.0,"121,080",Belgrave South,3160,680000.0
397,27450,Yarra Ranges,2016.0,"121,080",Chirnside Park,3116,590000.0
398,27450,Yarra Ranges,2016.0,"121,080",Coldstream,3770,502000.0
399,27450,Yarra Ranges,2016.0,"121,080",Don Valley,3139,456000.0
400,27450,Yarra Ranges,2016.0,"121,080",Ferny Creek,3786,660000.0
401,27450,Yarra Ranges,2016.0,"121,080",Gruyere,3770,846000.0
402,27450,Yarra Ranges,2016.0,"121,080",Healesville,3777,485000.0
403,27450,Yarra Ranges,2016.0,"121,080",Kallista,3791,597000.0
404,27450,Yarra Ranges,2016.0,"121,080",Kalorama,3766,550000.0
405,27450,Yarra Ranges,2016.0,"121,080",Launching Place,3139,449000.0
406,27450,Yarra Ranges,2016.0,"121,080",Lilydale,3140,560000.0
407,27450,Yarra Ranges,2016.0,"121,080",Millgrove,3799,297000.0
408,27450,Yarra Ranges,2016.0,"121,080",Monbulk,3793,550000.0
409,27450,Yarra Ranges,2016.0,"121,080",Montrose,3765,610000.0
410,27450,Yarra Ranges,2016.0,"121,080",Mooroolbark,3138,567000.0
411,27450,Yarra Ranges,2016.0,"121,080",Mount Dandenong,3767,575000.0
412,27450,Yarra Ranges,2016.0,"121,080",Mount Evelyn,3796,533000.0
413,27450,Yarra Ranges,2016.0,"121,080",Olinda,3788,650000.0
414,27450,Yarra Ranges,2016.0,"121,080",Selby,3159,500000.0
415,27450,Yarra Ranges,2016.0,"121,080",Seville,3139,478000.0
416,27450,Yarra Ranges,2016.0,"121,080",Seville East,3139,437000.0
417,27450,Yarra Ranges,2016.0,"121,080",Sherbrooke,3789,678000.0
418,27450,Yarra Ranges,2016.0,"121,080",Silvan,3795,760000.0
419,27450,Yarra Ranges,2016.0,"121,080",Tecoma,3160,550000.0
420,27450,Yarra Ranges,2016.0,"121,080",The Patch,3792,605000.0
421,27450,Yarra Ranges,2016.0,"121,080",Upwey,3158,550000.0
422,27450,Yarra Ranges,2016.0,"121,080",Wandin North,3139,495000.0
423,27450,Yarra Ranges,2016.0,"121,080",Warburton,3799,335000.0
424,27450,Yarra Ranges,2016.0,"121,080",Warburton East,3799,360000.0
425,27450,Yarra Ranges,2016.0,"121,080",Wesburn,3799,440000.0
426,27450,Yarra Ranges,2016.0,"121,080",Woori Yallock,3139,375000.0
427,27450,Yarra Ranges,2016.0,"121,080",Yarra Glen,3775,550000.0
428,27450,Yarra Ranges,2016.0,"121,080",Yarra Junction,3797,422000.0
