,S.No,Local Government Area,Year,Adult_Population,Suburb Name,Postcode,2016 Median Sold Price
89,21610,Casey,2016.0,"231,449",Cranbourne,3977,365000.0
90,21610,Casey,2016.0,"231,449",Cranbourne East,3977,450000.0
91,21610,Casey,2016.0,"231,449",Cranbourne North,3977,416000.0
92,21610,Casey,2016.0,"231,449",Cranbourne South,3977,915000.0
93,21610,Casey,2016.0,"231,449",Cranbourne West,3977,385000.0
94,21610,Casey,2016.0,"231,449",Devon Meadows,3977,765000.0
95,21610,Casey,2016.0,"231,449",Doveton,3177,382000.0
96,21610,Casey,2016.0,"231,449",Endeavour Hills,3802,514000.0
97,21610,Casey,2016.0,"231,449",Eumemmerring,3177,415000.0
98,21610,Casey,2016.0,"231,449",Hallam,3803,440000.0
99,21610,Casey,2016.0,"231,449",Hampton Park,3976,390000.0
100,21610,Casey,2016.0,"231,449",Harkaway,3806,650000.0
101,21610,Casey,2016.0,"231,449",Junction Village,3977,380000.0
102,21610,Casey,2016.0,"231,449",Lynbrook,3975,514000.0
103,21610,Casey,2016.0,"231,449",Lyndhurst,3975,556000.0
104,21610,Casey,2016.0,"231,449",Lysterfield South,3156,1058000.0
105,21610,Casey,2016.0,"231,449",Narre Warren,3805,457000.0
106,21610,Casey,2016.0,"231,449",Narre Warren North,3804,885000.0
107,21610,Casey,2016.0,"231,449",Narre Warren South,3805,505000.0
108,21610,Casey,2016.0,"231,449",Pearcedale,3912,495000.0
109,21890,Darebin,2016.0,"123,281",Coburg,3058,778000.0
110,21890,Darebin,2016.0,"123,281",Coburg North,3058,663000.0
111,21890,Darebin,2016.0,"123,281",Kingsbury,3083,569000.0
112,21890,Darebin,2016.0,"123,281",Northcote,3070,1040000.0
113,21890,Darebin,2016.0,"123,281",Preston,3072,777000.0
114,21890,Darebin,2016.0,"123,281",Reservoir,3073,600000.0
115,21890,Darebin,2016.0,"123,281",Thornbury,3071,915000.0
116,22170,Frankston,2016.0,"109,114",Carrum Downs,3201,392000.0
117,22170,Frankston,2016.0,"109,114",Frankston,3199,435000.0
118,22170,Frankston,2016.0,"109,114",Frankston North,3200,330000.0
119,22170,Frankston,2016.0,"109,114",Frankston South,3199,636000.0
120,22170,Frankston,2016.0,"109,114",Langwarrin,3910,465000.0
121,22170,Frankston,2016.0,"109,114",Langwarrin South,3911,927000.0
122,22170,Frankston,2016.0,"109,114",Sandhurst,3977,630000.0
123,22170,Frankston,2016.0,"109,114",Seaford,3198,511000.0
124,22170,Frankston,2016.0,"109,114",Skye,3977,439000.0
125,22310,Glen Eira,2016.0,"115,105",Bentleigh,3204,1252000.0
126,22310,Glen Eira,2016.0,"115,105",Bentleigh East,3165,1040000.0
127,22310,Glen Eira,2016.0,"115,105",Carnegie,3163,1250000.0
128,22310,Glen Eira,2016.0,"115,105",Caulfield,3162,1539000.0
129,22310,Glen Eira,2016.0,"115,105",Caulfield East,3145,1165000.0
130,22310,Glen Eira,2016.0,"115,105",Caulfield North,3161,1625000.0
131,22310,Glen Eira,2016.0,"115,105",Caulfield South,3162,1362000.0
132,22310,Glen Eira,2016.0,"115,105",Elsternwick,3185,1500000.0
133,22310,Glen Eira,2016.0,"115,105",Gardenvale,3185,1300000.0
134,22310,Glen Eira,2016.0,"115,105",Glen Huntly,3163,790000.0
135,22310,Glen Eira,2016.0,"115,105",McKinnon,3204,1360000.0
136,22310,Glen Eira,2016.0,"115,105",Murrumbeena,3163,1180000.0
137,22310,Glen Eira,2016.0,"115,105",Ormond,3204,1300000.0
138,22670,Greater Dandenong,2016.0,"124,599",Dandenong,3175,456000.0
139,22670,Greater Dandenong,2016.0,"124,599",Dandenong North,3175,500000.0
140,22670,Greater Dandenong,2016.0,"124,599",Keysborough,3173,614000.0
141,22670,Greater Dandenong,2016.0,"124,599",Noble Park,3174,500000.0
142,22670,Greater Dandenong,2016.0,"124,599",Noble Park North,3174,520000.0
143,22670,Greater Dandenong,2016.0,"124,599",Springvale,3171,631000.0
144,22670,Greater Dandenong,2016.0,"124,599",Springvale South,3172,572000.0
145,23110,Hobsons Bay,2016.0,"72,429",Altona,3018,724000.0
146,23110,Hobsons Bay,2016.0,"72,429",Altona Meadows,3028,470000.0
147,23110,Hobsons Bay,2016.0,"72,429",Altona North,3025,650000.0
148,23110,Hobsons Bay,2016.0,"72,429",Brooklyn,3012,555000.0
149,23110,Hobsons Bay,2016.0,"72,429",Laverton,3028,410000.0
150,23110,Hobsons Bay,2016.0,"72,429",Newport,3015,841000.0
151,23110,Hobsons Bay,2016.0,"72,429",Seabrook,3028,477000.0
152,23110,Hobsons Bay,2016.0,"72,429",Seaholme,3018,769000.0
153,23110,Hobsons Bay,2016.0,"72,429",South Kingsville,3015,761000.0
154,23110,Hobsons Bay,2016.0,"72,429",Spotswood,3015,863000.0
155,23110,Hobsons Bay,2016.0,"72,429",Williamstown,3016,1100000.0
156,23110,Hobsons Bay,2016.0,"72,429",Williamstown North,3016,805000.0
157,23270,Hume,2016.0,"153,462",Attwood,3049,655000.0
158,23270,Hume,2016.0,"153,462",Broadmeadows,3047,381000.0
159,23270,Hume,2016.0,"153,462",Campbellfield,3061,390000.0
160,23270,Hume,2016.0,"153,462",Craigieburn,3064,420000.0
161,23270,Hume,2016.0,"153,462",Dallas,3047,386000.0
162,23270,Hume,2016.0,"153,462",Diggers Rest,3427,367000.0
163,23270,Hume,2016.0,"153,462",Gladstone Park,3043,480000.0
164,23270,Hume,2016.0,"153,462",Greenvale,3059,521000.0
165,23270,Hume,2016.0,"153,462",Jacana,3047,388000.0
166,23270,Hume,2016.0,"153,462",Meadow Heights,3048,386000.0
167,23270,Hume,2016.0,"153,462",Mickleham,3064,477000.0
168,23270,Hume,2016.0,"153,462",Roxburgh Park,3064,429000.0
169,23270,Hume,2016.0,"153,462",Sunbury,3429,384000.0
170,23270,Hume,2016.0,"153,462",Westmeadows,3049,483000.0
171,23430,Kingston,2016.0,"124,594",Aspendale,3195,811000.0
172,23430,Kingston,2016.0,"124,594",Aspendale Gardens,3195,735000.0
173,23430,Kingston,2016.0,"124,594",Bonbeach,3196,700000.0
174,23430,Kingston,2016.0,"124,594",Carrum,3197,610000.0
175,23430,Kingston,2016.0,"124,594",Chelsea,3196,646000.0
176,23430,Kingston,2016.0,"124,594",Chelsea Heights,3196,600000.0
177,23430,Kingston,2016.0,"124,594",Clarinda,3169,685000.0
178,23430,Kingston,2016.0,"124,594",Clayton South,3169,670000.0
179,23430,Kingston,2016.0,"124,594",Dingley Village,3172,697000.0
180,23430,Kingston,2016.0,"124,594",Edithvale,3196,795000.0
181,23430,Kingston,2016.0,"124,594",Heatherton,3202,783000.0
182,23430,Kingston,2016.0,"124,594",Mentone,3194,860000.0
183,23430,Kingston,2016.0,"124,594",Mordialloc,3195,782000.0
184,23430,Kingston,2016.0,"124,594",Oakleigh South,3167,782000.0
185,23430,Kingston,2016.0,"124,594",Parkdale,3195,933000.0
186,23430,Kingston,2016.0,"124,594",Patterson Lakes,3197,750000.0
187,23430,Kingston,2016.0,"124,594",Waterways,3195,910000.0
188,23670,Knox,2016.0,"127,047",Bayswater,3153,620000.0
189,23670,Knox,2016.0,"127,047",Boronia,3155,580000.0
190,23670,Knox,2016.0,"127,047",Ferntree Gully,3156,605000.0
191,23670,Knox,2016.0,"127,047",Knoxfield,3180,691000.0
192,23670,Knox,2016.0,"127,047",Lysterfield,3156,831000.0
193,23670,Knox,2016.0,"127,047",Rowville,3178,734000.0
194,23670,Knox,2016.0,"127,047",Sassafras,3787,647000.0
195,23670,Knox,2016.0,"127,047",Scoresby,3179,677000.0
196,23670,Knox,2016.0,"127,047",The Basin,3154,550000.0
197,23670,Knox,2016.0,"127,047",Upper Ferntree Gully,3156,565000.0
198,23670,Knox,2016.0,"127,047",Wantirna,3152,788000.0
199,23670,Knox,2016.0,"127,047",Wantirna South,3152,850000.0
200,24210,Manningham,2016.0,"97,529",Bulleen,3105,1075000.0
201,24210,Manningham,2016.0,"97,529",Doncaster,3108,1200000.0
202,24210,Manningham,2016.0,"97,529",Doncaster East,3109,1130000.0
203,24210,Manningham,2016.0,"97,529",Donvale,3111,1038000.0
204,24210,Manningham,2016.0,"97,529",Nunawading,3131,861000.0
205,24210,Manningham,2016.0,"97,529",Park Orchards,3114,1360000.0
206,24210,Manningham,2016.0,"97,529",Ringwood North,3134,790000.0
207,24210,Manningham,2016.0,"97,529",Templestowe,3106,1261000.0
208,24210,Manningham,2016.0,"97,529",Templestowe Lower,3107,1040000.0
209,24210,Manningham,2016.0,"97,529",Warrandyte,3113,999000.0
210,24210,Manningham,2016.0,"97,529",Warrandyte South,3134,1443000.0
