,Local Government Area,Suburb Name,ID,Postcode,2016 Median Sold Price
134,Kingston,Chelsea Heights,8937,3196,600000
135,Kingston,Cheltenham,8967,3192,800000
136,Kingston,Clarinda,9257,3169,685000
137,Kingston,Clayton South,9367,3169,670000
138,Kingston,Dingley Village,11977,3172,697000
139,Kingston,Edithvale,13457,3196,795000
140,Kingston,Heatherton,18327,3202,783000
141,Kingston,Highett,18717,3190,920000
142,Kingston,Mentone,26087,3194,860000
143,Kingston,Moorabbin,27577,3189,865000
145,Kingston,Mordialloc,27817,3195,782000
146,Kingston,Oakleigh South,31597,3167,782000
147,Kingston,Parkdale,32097,3195,933000
148,Kingston,Patterson Lakes,32277,3197,750000
149,Kingston,Waterways,42857,3195,910000
150,Manningham,Bulleen,6707,3105,1075000
151,Manningham,Doncaster,12177,3108,1200000
152,Manningham,Doncaster East,12227,3109,1130000
153,Manningham,Donvale,12247,3111,1038000
154,Manningham,Nunawading,31307,3131,861000
155,Manningham,Park Orchards,32077,3114,1360000
156,Manningham,Ringwood North,34477,3134,790000
157,Manningham,Templestowe,39607,3106,1261000
158,Manningham,Templestowe Lower,39637,3107,1040000
159,Manningham,Warrandyte,42597,3113,999000
160,Manningham,Warrandyte South,42617,3134,1443000
161,Manningham,Wonga Park,44437,3115,930000
162,Maribyrnong,Braybrook,5697,3019,555000
163,Maribyrnong,Footscray,14717,3011,665000
164,Maribyrnong,Kingsville,21717,3012,782000
165,Maribyrnong,Maidstone,24877,3012,620000
166,Maribyrnong,Maribyrnong,25307,3032,750000
167,Maribyrnong,Seddon,35997,3011,800000
169,Maribyrnong,West Footscray,43407,3012,660000
170,Maribyrnong,Yarraville,45777,3013,800000
171,Monash,Ashwood,1807,3147,1135000
172,Monash,Burwood,7237,3125,1124000
173,Monash,Chadstone,8847,3148,895000
174,Monash,Clayton,9327,3168,890000
175,Monash,Hughesdale,19257,3166,1100000
176,Monash,Huntingdale,19317,3166,846000
177,Monash,Mount Waverley,28457,3149,1220000
178,Monash,Mulgrave,29167,3170,758000
179,Monash,Notting Hill,31177,3168,831000
180,Monash,Oakleigh,31547,3166,970000
181,Monash,Oakleigh East,31567,3166,859000
182,Monash,Oakleigh South,31597,3167,782000
183,Monash,Wheelers Hill,43647,3150,1000000
184,Moonee Valley,Aberfeldie,647,3040,1295000
185,Moonee Valley,Airport West,757,3042,650000
186,Moonee Valley,Ascot Vale,1757,3032,905000
187,Moonee Valley,Avondale Heights,1957,3034,676000
188,Moonee Valley,Essendon,13957,3040,955000
189,Moonee Valley,Essendon North,13977,3041,688000
190,Moonee Valley,Essendon West,13997,3040,925000
191,Moonee Valley,Flemington,14617,3031,815000
192,Moonee Valley,Keilor East,20897,3033,672000
193,Moonee Valley,Moonee Ponds,27497,3039,915000
194,Moonee Valley,Niddrie,30687,3042,830000
195,Moonee Valley,Strathmore,38037,3041,1048000
196,Moonee Valley,Strathmore Heights,38047,3041,755000
197,Moreland,Brunswick,6377,3056,850000
198,Moreland,Brunswick East,6427,3057,815000
199,Moreland,Brunswick West,6447,3055,795000
200,Moreland,Coburg,9707,3058,778000
201,Moreland,Coburg North,9727,3058,663000
202,Moreland,Fawkner,14297,3060,525000
203,Moreland,Fitzroy North,14567,3068,1157000
204,Moreland,Glenroy,16477,3046,501000
205,Moreland,Gowanbrae,16877,3043,591000
206,Moreland,Hadfield,17537,3046,541000
207,Moreland,Oak Park,31507,3046,625000
208,Moreland,Parkville,32107,3052,645000
209,Moreland,Pascoe Vale,32147,3044,600000
210,Moreland,Pascoe Vale South,32177,3044,749000
211,Moreland,Tullamarine,40947,3043,455000
212,Whitehorse,Blackburn,4637,3130,1175000
213,Whitehorse,Blackburn North,4657,3130,925000
214,Whitehorse,Blackburn South,4667,3130,948000
215,Whitehorse,Box Hill,5477,3128,1035000
216,Whitehorse,Box Hill North,5547,3129,1050000
217,Whitehorse,Box Hill South,5567,3128,1120000
218,Whitehorse,Burwood,7237,3125,1124000
219,Whitehorse,Burwood East,7327,3151,988000
220,Whitehorse,Forest Hill,14827,3131,879000
221,Whitehorse,Mitcham,26977,3132,852000
222,Whitehorse,Mont Albert,27307,3127,1838000
223,Whitehorse,Mont Albert North,27337,3129,1350000
224,Whitehorse,Nunawading,31307,3131,861000
225,Whitehorse,Surrey Hills,38357,3127,1676000
226,Whitehorse,Vermont,41507,3133,857000
227,Whitehorse,Vermont South,41517,3133,1053000
228,Brimbank,Albanvale,787,3021,370000
229,Brimbank,Albion,837,3020,521000
230,Brimbank,Ardeer,1507,3022,428000
231,Brimbank,Cairnlea,7527,3023,564000
233,Brimbank,Deer Park,11507,3023,400000
234,Brimbank,Delahey,11547,3037,406000
235,Brimbank,Derrimut,161087,3026,499000
236,Brimbank,Kealba,20817,3021,420000
237,Brimbank,Keilor,20857,3036,731000
238,Brimbank,Keilor Downs,20887,3038,490000
239,Brimbank,Keilor Lodge,20917,3038,576000
241,Brimbank,Keilor Park,20957,3042,562000
242,Brimbank,Kings Park,21657,3021,375000
243,Brimbank,St Albans,37177,3021,445000
244,Brimbank,Sunshine,38277,3020,589000
245,Brimbank,Sunshine North,38287,3020,510000
246,Brimbank,Sunshine West,38297,3020,476000
247,Brimbank,Sydenham,38547,3037,433000
248,Brimbank,Taylors Lakes,39487,3038,581000
249,Brimbank,Tullamarine,40947,3043,455000
298,Casey,Beaconsfield,3417,3807,585000
299,Casey,Berwick,4297,3806,565000
300,Casey,Blind Bight,4777,3980,420000
301,Casey,Cannons Creek,7877,3977,390000
302,Casey,Clyde,9517,3978,440000
303,Casey,Clyde North,9527,3978,460000
304,Casey,Cranbourne,10627,3977,365000
305,Casey,Cranbourne East,10647,3977,450000
306,Casey,Cranbourne North,10657,3977,416000
307,Casey,Cranbourne South,10677,3977,915000
308,Casey,Cranbourne West,10687,3977,385000
309,Casey,Devon Meadows,11787,3977,765000
310,Casey,Doveton,12367,3177,382000
311,Casey,Endeavour Hills,13797,3802,514000
312,Casey,Eumemmerring,14007,3177,415000
313,Casey,Hallam,17567,3803,440000
314,Casey,Hampton Park,17807,3976,390000
315,Casey,Harkaway,17897,3806,650000
316,Casey,Junction Village,20197,3977,380000
317,Casey,Lynbrook,24557,3975,514000
318,Casey,Lyndhurst,24577,3975,556000
319,Casey,Lysterfield South,24617,3156,1058000
320,Casey,Narre Warren,30017,3805,457000
321,Casey,Narre Warren North,30047,3804,885000
322,Casey,Narre Warren South,30077,3805,505000
323,Casey,Pearcedale,32327,3912,495000
324,Casey,Tooradin,40437,3980,485000
326,Frankston,Carrum Downs,8507,3201,392000
327,Frankston,Frankston,14947,3199,435000
328,Frankston,Frankston North,15007,3200,330000
329,Frankston,Frankston South,15027,3199,636000
330,Frankston,Langwarrin,23137,3910,465000
331,Frankston,Langwarrin South,23177,3911,927000
332,Frankston,Sandhurst,35597,3977,630000
333,Frankston,Seaford,35867,3198,511000
335,Greater Dandenong,Dandenong,11157,3175,456000
336,Greater Dandenong,Dandenong North,11187,3175,500000
338,Greater Dandenong,Keysborough,21197,3173,614000
339,Greater Dandenong,Lyndhurst,24577,3975,556000
340,Greater Dandenong,Noble Park,30827,3174,500000
341,Greater Dandenong,Noble Park North,30847,3174,520000
342,Greater Dandenong,Springvale,37117,3171,631000
343,Greater Dandenong,Springvale South,37157,3172,572000
344,Hume,Attwood,1857,3049,655000
345,Hume,Broadmeadows,6127,3047,381000
347,Hume,Campbellfield,7717,3061,390000
350,Hume,Craigieburn,10597,3064,420000
351,Hume,Dallas,11087,3047,386000
352,Hume,Diggers Rest,11897,3427,367000
353,Hume,Fawkner,14297,3060,525000
354,Hume,Gladstone Park,15787,3043,480000
355,Hume,Greenvale,17317,3059,521000
356,Hume,Jacana,19797,3047,388000
358,Hume,Keilor,20857,3036,731000
359,Hume,Meadow Heights,25717,3048,386000
361,Hume,Mickleham,26487,3064,477000
363,Hume,Roxburgh Park,35077,3064,429000
365,Hume,Sunbury,38197,3429,384000
366,Hume,Tullamarine,40947,3043,455000
367,Hume,Westmeadows,43577,3049,483000
